"GEO_ID","NAME","B08007_001E","B08007_001M","B08007_002E","B08007_002M","B08007_003E","B08007_003M","B08007_004E","B08007_004M","B08007_005E","B08007_005M","B08007_006E","B08007_006M","B08007_007E","B08007_007M","B08007_008E","B08007_008M","B08007_009E","B08007_009M","B08007_010E","B08007_010M","B08007_011E","B08007_011M","B08007_012E","B08007_012M","B08007_013E","B08007_013M","B08007_014E","B08007_014M","B08007_015E","B08007_015M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Worked in state of residence:","Margin of Error!!Total:!!Worked in state of residence:","Estimate!!Total:!!Worked in state of residence:!!Worked in county of residence","Margin of Error!!Total:!!Worked in state of residence:!!Worked in county of residence","Estimate!!Total:!!Worked in state of residence:!!Worked outside county of residence","Margin of Error!!Total:!!Worked in state of residence:!!Worked outside county of residence","Estimate!!Total:!!Worked outside state of residence","Margin of Error!!Total:!!Worked outside state of residence","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Worked in state of residence:","Margin of Error!!Total:!!Male:!!Worked in state of residence:","Estimate!!Total:!!Male:!!Worked in state of residence:!!Worked in county of residence","Margin of Error!!Total:!!Male:!!Worked in state of residence:!!Worked in county of residence","Estimate!!Total:!!Male:!!Worked in state of residence:!!Worked outside county of residence","Margin of Error!!Total:!!Male:!!Worked in state of residence:!!Worked outside county of residence","Estimate!!Total:!!Male:!!Worked outside state of residence","Margin of Error!!Total:!!Male:!!Worked outside state of residence","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Worked in state of residence:","Margin of Error!!Total:!!Female:!!Worked in state of residence:","Estimate!!Total:!!Female:!!Worked in state of residence:!!Worked in county of residence","Margin of Error!!Total:!!Female:!!Worked in state of residence:!!Worked in county of residence","Estimate!!Total:!!Female:!!Worked in state of residence:!!Worked outside county of residence","Margin of Error!!Total:!!Female:!!Worked in state of residence:!!Worked outside county of residence","Estimate!!Total:!!Female:!!Worked outside state of residence","Margin of Error!!Total:!!Female:!!Worked outside state of residence"
"0500000US36019","Clinton County, New York","34916","810","33651","843","31934","862","1717","252","1265","227","18446","545","17682","585","16719","591","963","152","764","175","16470","498","15969","504","15215","516","754","186","501","155"
"0500000US36021","Columbia County, New York","28927","548","27124","580","17874","623","9250","525","1803","221","15253","370","14310","381","9231","451","5079","408","943","171","13674","352","12814","336","8643","360","4171","308","860","142"
"0500000US36023","Cortland County, New York","22493","608","22363","619","15893","585","6470","436","130","44","11251","470","11143","478","7630","415","3513","300","108","43","11242","397","11220","397","8263","397","2957","277","22","20"
"0500000US36025","Delaware County, New York","19552","546","19157","542","13992","573","5165","355","395","88","10553","416","10234","408","7397","408","2837","272","319","81","8999","322","8923","328","6595","322","2328","210","76","29"
"0500000US36027","Dutchess County, New York","142352","1549","137249","1511","92742","1593","44507","1358","5103","458","74133","1017","71273","1015","45497","966","25776","1018","2860","328","68219","1132","65976","1142","47245","1087","18731","844","2243","305"
"0500000US36029","Erie County, New York","441864","2608","439811","2609","414666","2650","25145","1051","2053","304","225311","1718","223972","1744","209259","1813","14713","735","1339","237","216553","1754","215839","1758","205407","1767","10432","672","714","168"
"0500000US36031","Essex County, New York","16919","525","15933","506","12141","468","3792","313","986","226","8625","381","7922","358","5941","296","1981","227","703","207","8294","328","8011","331","6200","338","1811","190","283","82"
"0500000US36033","Franklin County, New York","18859","668","18718","662","14765","547","3953","416","141","52","9870","496","9762","492","7379","393","2383","334","108","46","8989","371","8956","368","7386","335","1570","211","33","18"
"0500000US36035","Fulton County, New York","24040","637","23915","640","13631","560","10284","573","125","76","12625","412","12510","414","6919","425","5591","345","115","74","11415","480","11405","479","6712","379","4693","405","10","16"
"0500000US36037","Genesee County, New York","28903","473","28854","471","17569","640","11285","512","49","30","15297","365","15253","364","8598","488","6655","392","44","29","13606","319","13601","318","8971","376","4630","313","5","8"
"0500000US36039","Greene County, New York","19999","669","19835","682","11361","595","8474","532","164","79","10481","503","10341","501","5955","474","4386","423","140","80","9518","394","9494","395","5406","401","4088","332","24","21"
"0500000US36041","Hamilton County, New York","1767","130","1750","132","1111","120","639","84","17","12","1085","89","1071","90","640","85","431","72","14","10","682","85","679","85","471","77","208","42","3","3"
"0500000US36043","Herkimer County, New York","28042","520","27886","514","14686","663","13200","566","156","76","14485","330","14383","320","7675","450","6708","428","102","53","13557","403","13503","400","7011","426","6492","338","54","54"
"0500000US36045","Jefferson County, New York","51958","852","51511","856","49054","850","2457","290","447","135","30642","595","30305","607","28747","646","1558","252","337","119","21316","568","21206","573","20307","563","899","154","110","69"
"0500000US36047","Kings County, New York","1197935","4656","1172006","4710","585534","4396","586472","4401","25929","1081","598868","3086","581853","3078","279596","2719","302257","2644","17015","884","599067","2703","590153","2791","305938","2872","284215","2895","8914","599"
