Table 1
"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 8, 2016",,,,,,,,,,,,,,,,
Revised: 8-17-2017,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,Revised: 8-17-2017,,,,,,,,,,,,,,,,
County,Clinton   Kaine,Trump    Pence,Trump    Pence,Stein   Baraka,Clinton   Kaine,Johnson  Weld,Clinton   Kaine,Johnson  Weld,,,County,Arantxa Aranja,Neer R. Asherie,Mark Blickley,Robert L. Buchanan,Gary S. Canns,Willie Carter,Darrell Castle,Ariel Cohen,William J. Connolly,"""Rocky"" Rogue De La Fuente",Jason Fried,Zoltan Istvan Gyurko,,,County,Ben Hartnell,Tom Hoefling,Michael Frederick Ingbar,Lynn Kahn,Chris Keniston,Gloria La Riva,Jeffrey Mackler,Michael A. Maturen,Evan McMullin,Monica Moorehead,Jason Mutford,Clifton Roberts,,,County,Marshall Schoenke,Ryan Alan Scott,Emidio Soltysik,Tony Valdivia,J. J. Vogel-Walcutt,Esther Welsh,Barbara Whitaker,Robert M. Wolff,Blank,Void,Scattering,Total,,,,
,DEM,REP,CON,GRN,WOR,IND,WEP,LBT,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,,
 Greene,"6,914","11,620","1,453",442,365,458,126,189,,, Greene,0,0,0,0,0,0,58,0,3,0,0,0,,, Greene,0,1,0,0,0,1,0,0,25,0,2,2,,, Greene,0,0,0,0,0,0,0,0,269,6,391,"22,325",,,,
 Hamilton,906,"1,897",167,44,24,79,19,40,,, Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,,, Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,,, Hamilton,0,0,0,0,0,0,0,0,52,0,49,"3,277",,,,
 Herkimer,"7,708","15,110","1,589",403,262,740,113,262,,, Herkimer,0,0,0,1,0,0,17,0,0,0,0,0,,, Herkimer,0,0,0,0,0,0,0,1,49,0,0,0,,, Herkimer,0,0,0,0,0,0,0,0,227,215,0,"26,697",,,,
 Jefferson,"13,150","19,894","1,869",617,466,"1,238",193,432,,, Jefferson,0,0,0,0,0,0,15,0,0,0,0,0,,, Jefferson,0,0,0,0,0,0,0,5,60,0,0,0,,, Jefferson,0,0,0,0,0,0,0,0,327,50,297,"38,613",,,,
 Lewis,"3,009","6,698",702,132,96,396,41,100,,, Lewis,0,0,0,0,0,0,7,0,0,0,0,0,,, Lewis,0,0,0,0,1,0,0,2,30,0,0,0,,, Lewis,0,0,0,0,0,0,0,0,125,5,111,"11,455",,,,
 Livingston,"10,140","15,168","2,122",449,370,862,187,414,,, Livingston,0,0,0,0,0,0,12,0,0,1,0,1,,, Livingston,0,3,0,1,0,0,0,0,102,0,0,1,,, Livingston,0,0,0,0,0,0,0,1,253,29,197,"30,313",,,,
 Madison,"10,988","14,144","1,792",516,482,"1,097",197,485,,, Madison,0,0,0,0,0,0,11,0,0,0,0,1,,, Madison,1,1,0,0,1,0,0,2,83,0,0,0,,, Madison,0,0,0,0,0,0,0,0,288,1,263,"30,353",,,,
 Monroe,"179,142","116,476","20,106","5,289","6,588","8,640","2,862","4,565",,, Monroe,0,0,0,7,1,1,57,1,0,5,0,15,,, Monroe,4,47,0,7,8,12,0,42,990,6,8,2,,, Monroe,2,1,2,1,0,1,0,0,"2,984",194,"2,902","350,968",,,,
 Montgomery,"6,264","9,894","1,407",268,230,460,101,230,,, Montgomery,0,0,0,0,0,0,12,0,0,0,0,0,,, Montgomery,0,1,0,0,1,2,0,1,36,0,4,0,,, Montgomery,0,0,0,0,0,0,0,0,203,17,143,"19,274",,,,
 Nassau,"324,212","272,873","19,152","6,734","5,671","7,195","2,271","4,142",,, Nassau,0,1,0,1,0,0,37,17,0,1,0,5,,, Nassau,9,2,1,0,4,8,0,24,603,2,1,7,,, Nassau,0,0,2,0,0,0,0,0,"5,865",689,"4,147","653,676",,,,
